update_datetime;eta;etd;detdeta;name;company;terminal;status;arriving_from;nationality;vessel_type;purpose;call_no;length;width;brt;signal;imo;quay;group;cargo
2020-11-04 19:08:06.5550000;03-02-2020 09:30;07-02-2020 07:00;336600;Eemsborg ;SDK Shipping A/S;Amagerværket;Departed;Riga;Nederländerna;General Cargo Ship;Discharging only;295917;137,84;15,87;7196;PBMD;9423748;c836;D;WC
2020-11-04 19:08:06.5550000;05-02-2020 11:00;06-02-2020 19:30;117000;Maxi;Schultz Shipping A/S;Amagerværket;Departed;Bekkeri;Antigua & Barbuda;General Cargo Ship;Discharging only;295895;111,75;14,95;4503;V2GW7;9180865;c838;D;WP
2020-11-04 19:08:06.5550000;06-02-2020 20:00;07-02-2020 01:35;20100;Haafjell;Baltic Shipping Company A/S;Amagerværket;Arrived;Grenå;Norge, nationellt registe;General Cargo Ship;Discharging only;295874;89,25;13,4;2780;LAHX8;9148207;c835;A;WC
2020-11-04 19:08:06.5550000;06-02-2020 20:00;09-02-2020 16:00;244800;Joulius;Schultz Shipping A/S;Amagerværket;Arrived;Riga;Danmark, DIS;Tug;Towage;295955;32,42;9;295;OWQY2;8802064;c838;A;WP
2020-11-04 19:08:06.5550000;06-02-2020 20:00;09-02-2020 16:00;244800;VT Warsaw;Schultz Shipping A/S;Amagerværket;Arrived;Riga;Danmark, nationellt regis;Barge;Discharging only;295956;110,4;21;7543;OU6341;9043366;c838;A;WP
2020-11-04 19:08:06.5550000;11-02-2020 10:00;14-02-2020 16:00;280800;Raduga Neutron;Schultz Shipping A/S;Amagerværket;Departed;Enstedvaerkets Havn;Cypern;Tug;Towage;295966;31,85;9,5;275;5BUU4;7928158;c838;D;WP
2020-11-04 19:08:06.5550000;11-02-2020 10:00;14-02-2020 16:00;280800;Silur;Schultz Shipping A/S;Amagerværket;Departed;Enstedvaerkets Havn;Estland;Barge;Discharging only;295965;101,1;19,05;4730;XP4095;7924059;c838;D;WP
2020-11-04 19:08:06.5550000;13-02-2020 20:00;14-02-2020 20:00;86400;Niklas G;Schultz Shipping A/S;Amagerværket;Departed;Lübeck;Antigua & Barbuda;General Cargo Ship;Discharging only;296020;114,4;14,4;4255;V2FN6;9534303;c836;D;WC
2020-11-04 19:08:06.5550000;14-02-2020 13:00;15-02-2020 22:30;120600;Marfaam;SDK Shipping A/S;Amagerværket;Departed;Riga;Nederländerna;General Cargo Ship;Discharging only;295992;118,14;16,13;5422;PCNH;9526100;c835;D;WC
2020-11-04 19:08:06.5550000;16-02-2020 00:00;17-02-2020 22:59;169140;Spirit;SDK Shipping A/S;Amagerværket;Departed;Mersrags;Nederländerna;General Cargo Ship;Discharging only;296029;111,75;14,95;4503;PFCF;9229049;c836;D;WC
2020-11-04 19:08:06.5550000;16-02-2020 12:00;19-02-2020 18:00;280800;Belterwiede;Schultz Shipping A/S;Amagerværket;Departed;Leixoes;Nederländerna;General Cargo Ship;Discharging only;295967;110,78;14;3990;PHCM;9313797;c838;D;WP
2020-11-04 19:08:06.5550000;16-02-2020 14:00;17-02-2020 21:00;111600;St.Pauli;SDK Shipping A/S;Amagerværket;Departed;Lübeck;Gibraltar;General Cargo Ship;Discharging only;296055;92,41;15,2;3075;ZDFJ3;8214358;c835;D;WC
2020-11-04 19:08:06.5550000;17-02-2020 21:00;19-02-2020 22:59;179940;Norjarl;SDK Shipping A/S;Amagerværket;Departed;Stralsund;Norge, NIS;General cargo More decks;Discharging only;296069;119,31;16,5;5335;LAZN7;9436264;c836;D;WC
2020-11-04 19:08:06.5550000;17-02-2020 22:59;19-02-2020 22:59;172800;Danita;SDK Shipping A/S;Amagerværket;Departed;Eydehavn;Portugal (MAR);General Cargo Ship;Discharging only;296066;115,46;16,5;5232;CQAC9;9341108;c835;D;WC
2020-11-04 19:08:06.5550000;19-02-2020 19:00;22-02-2020 19:00;259200;Longdijk;Schultz Shipping A/S;Amagerværket;Departed;Riga;Nederländerna;General cargo More decks;Discharging only;296133;111,75;14,95;4503;PBAB;9215658;c838;D;WP
2020-11-04 19:08:06.5550000;20-02-2020 07:00;05-03-2020 04:00;1198800;IDC Pearl;SDK Shipping A/S;Amagerværket;Departed;Santana;Turkiet;Bulk;Discharging only;296058;190;32,29;30085;TCRT9;9245249;c835;D;WC
2020-11-04 19:08:06.5550000;29-02-2020 03:30;02-03-2020 09:00;192600;Spirit;Schultz Shipping A/S;Amagerværket;Departed;Bekkeri;Nederländerna;General Cargo Ship;Discharging only;296224;111,75;14,95;4503;PFCF;9229049;c838;D;WP
2020-11-04 19:08:06.5550000;05-03-2020 05:00;08-03-2020 20:30;315000;Joulius;Schultz Shipping A/S;Amagerværket;Arrived;Riga;Danmark, DIS;Tug;Towage;296352;32,42;9;295;OWQY2;8802064;c838;A;WP
2020-11-04 19:08:06.5550000;05-03-2020 05:00;08-03-2020 20:30;315000;VT Warsaw;Schultz Shipping A/S;Amagerværket;Departed;Riga;Danmark, nationellt regis;Barge;Discharging only;296353;110,4;21;7543;OU6341;9043366;c838;D;WP
